ts,event_id,protocol,asset,liq_size_usd,penalty_bps
1754737437,evt00091,proto4,AST1,214665.28,427
1754737646,evt00092,proto4,AST3,76381.09,1014
1754738543,evt00093,proto2,AST2,6033.27,397
1754738956,evt00094,proto3,AST3,216104.51,1190
1754739752,evt00095,proto3,AST3,160413.46,609
1754740452,evt00096,proto3,AST1,28941.6,1193
1754740724,evt00097,proto2,AST5,240638.07,471
1754740768,evt00098,proto1,AST5,108708.79,946
1754741578,evt00099,proto3,AST4,151599.47,723
1754741701,evt00100,proto4,AST5,47616.88,245
1754742431,evt00101,proto4,AST1,130037.7,1025
1754742987,evt00102,proto2,AST3,107892.59,1171
1754743672,evt00103,proto3,AST5,78561.24,1068
1754743804,evt00104,proto3,AST5,77404.05,618
1754744143,evt00105,proto4,AST6,73998.32,330
1754744344,evt00106,proto4,AST6,235098.07,893
1754745115,evt00107,proto2,AST5,142328.02,615
1754745681,evt00108,proto1,AST3,71814.0,640
1754746490,evt00109,proto3,AST4,110513.49,891
1754746713,evt00110,proto4,AST6,42522.49,286
1754747008,evt00111,proto3,AST1,204627.66,969
1754747253,evt00112,proto3,AST2,201663.94,350
1754747283,evt00113,proto1,AST2,245985.93,825
1754748158,evt00114,proto1,AST4,103680.52,844
1754748752,evt00115,proto2,AST6,174125.0,706
1754749166,evt00116,proto2,AST2,164055.78,205
1754749939,evt00117,proto1,AST4,54804.02,1023
1754750656,evt00118,proto4,AST1,139404.56,1139
1754751529,evt00119,proto1,AST4,33438.78,675
1754752217,evt00120,proto3,AST4,153209.56,936
1754752738,evt00121,proto4,AST5,111544.89,362
1754753504,evt00122,proto4,AST4,64886.78,453
1754754369,evt00123,proto3,AST5,121211.1,444
1754754655,evt00124,proto4,AST1,178420.59,440
1754754938,evt00125,proto3,AST3,223269.54,282
1754755084,evt00126,proto2,AST2,95832.86,356
1754755812,evt00127,proto2,AST1,103787.19,538
1754756372,evt00128,proto4,AST4,15678.96,1052
1754756807,evt00129,proto4,AST5,236521.98,220
1754757689,evt00130,proto4,AST4,1593.31,560
1754757999,evt00131,proto4,AST4,134610.56,952
1754758563,evt00132,proto2,AST4,54949.08,646
1754759065,evt00133,proto1,AST4,84112.05,895
1754759887,evt00134,proto4,AST6,41361.38,678
1754760022,evt00135,proto1,AST4,148022.17,878
1754760054,evt00136,proto1,AST6,107221.76,1087
1754760531,evt00137,proto2,AST1,65127.86,535
1754760752,evt00138,proto4,AST3,84454.64,1100
1754761145,evt00139,proto3,AST4,63157.61,283
1754761631,evt00140,proto1,AST6,134910.03,1174
1754761994,evt00141,proto2,AST6,17266.36,1180
1754762666,evt00142,proto1,AST1,237408.98,404
1754763530,evt00143,proto1,AST5,38197.3,329
1754764019,evt00144,proto1,AST5,236945.52,676
1754764740,evt00145,proto3,AST3,42047.15,821
1754765510,evt00146,proto1,AST2,241184.43,310
1754766107,evt00147,proto1,AST3,144000.09,1129
1754766496,evt00148,proto4,AST6,49678.64,806
1754767208,evt00149,proto2,AST1,174334.59,508
1754768083,evt00150,proto1,AST5,195684.92,555
1754768633,evt00151,proto4,AST6,92718.25,718
1754769301,evt00152,proto3,AST1,212411.96,1042
1754769807,evt00153,proto1,AST4,240201.6,850
1754770660,evt00154,proto4,AST6,38349.43,380
1754771416,evt00155,proto3,AST5,202072.82,751
1754772214,evt00156,proto4,AST4,108961.35,948
1754772825,evt00157,proto3,AST3,212946.08,1050
1754772918,evt00158,proto3,AST4,61056.6,675
1754773506,evt00159,proto4,AST3,7291.56,1071
1754773843,evt00160,proto2,AST4,53124.51,1016
1754774112,evt00161,proto3,AST3,220094.36,918
1754774399,evt00162,proto1,AST5,237021.88,287
1754774651,evt00163,proto4,AST4,138847.43,446
1754775363,evt00164,proto4,AST6,177995.18,658
1754776179,evt00165,proto1,AST1,73643.59,614
1754776892,evt00166,proto2,AST3,166030.33,577
1754777381,evt00167,proto3,AST4,249158.27,763
1754777724,evt00168,proto3,AST6,113501.87,513
1754777986,evt00169,proto2,AST1,180354.53,523
1754778113,evt00170,proto2,AST2,54190.19,695
1754778401,evt00171,proto3,AST1,208177.18,503
1754778638,evt00172,proto3,AST2,75650.63,925
1754779189,evt00173,proto2,AST3,11493.46,255
1754779760,evt00174,proto3,AST6,236029.11,853
1754780654,evt00175,proto4,AST1,218195.21,787
1754780950,evt00176,proto4,AST4,110184.34,388
1754781007,evt00177,proto3,AST4,28628.09,266
1754781422,evt00178,proto4,AST1,144306.05,902
1754781481,evt00179,proto2,AST2,202808.18,1171
1754781797,evt00180,proto1,AST2,29718.68,982
1754782228,evt00181,proto2,AST5,95168.86,1130
1754782686,evt00182,proto3,AST5,247509.01,512
1754783273,evt00183,proto1,AST5,240031.98,301
1754784059,evt00184,proto2,AST6,52850.98,876
1754784147,evt00185,proto2,AST2,43552.53,276
1754784312,evt00186,proto1,AST4,112691.87,808
1754784798,evt00187,proto3,AST1,57961.28,923
1754785092,evt00188,proto4,AST1,171883.74,1146
1754785367,evt00189,proto2,AST4,28800.3,430
1754786035,evt00190,proto2,AST3,206678.59,273
1754786101,evt00191,proto2,AST3,148809.6,1044
1754786688,evt00192,proto3,AST4,31193.49,905
1754787004,evt00193,proto4,AST3,125177.99,705
1754787457,evt00194,proto1,AST5,10080.41,642
1754788214,evt00195,proto3,AST5,62681.93,293
1754788453,evt00196,proto1,AST6,205376.74,790
1754788499,evt00197,proto2,AST4,129798.68,652
1754788788,evt00198,proto2,AST5,109038.94,1033
1754789296,evt00199,proto1,AST4,87068.51,541
1754789629,evt00200,proto1,AST2,82531.34,910
1754790141,evt00201,proto3,AST6,236304.96,1033
1754790924,evt00202,proto1,AST4,22124.38,458
1754791260,evt00203,proto1,AST4,216243.86,1044
1754791266,evt00204,proto4,AST4,13664.52,730
1754791641,evt00205,proto4,AST6,110577.19,252
1754791854,evt00206,proto3,AST5,32857.59,494
1754792307,evt00207,proto4,AST1,7333.9,845
1754792935,evt00208,proto2,AST6,39695.54,764
1754792954,evt00209,proto4,AST1,56268.2,1061
1754793075,evt00210,proto4,AST1,161969.7,357
1754793590,evt00211,proto3,AST5,176388.26,625
1754794449,evt00212,proto4,AST4,61023.48,764
1754794602,evt00213,proto4,AST2,230476.41,720
1754795371,evt00214,proto2,AST1,69148.7,1008
1754796250,evt00215,proto4,AST3,233569.99,719
1754796528,evt00216,proto1,AST3,181545.62,1057
1754797134,evt00217,proto4,AST2,111703.26,695
1754797492,evt00218,proto3,AST5,190746.62,586
1754797963,evt00219,proto3,AST2,245195.96,444
1754798553,evt00220,proto4,AST2,214020.52,620
1754798602,evt00221,proto3,AST6,118307.31,1135
1754799437,evt00222,proto4,AST4,247104.89,1011
1754800282,evt00223,proto2,AST4,241210.33,329
1754800801,evt00224,proto3,AST1,218562.69,650
1754800908,evt00225,proto4,AST1,180644.26,619
1754801804,evt00226,proto2,AST1,117436.31,1192
1754802080,evt00227,proto3,AST5,173213.03,865
1754802167,evt00228,proto3,AST6,214852.42,589
1754802496,evt00229,proto4,AST5,9090.47,270
1754802741,evt00230,proto3,AST2,186721.98,644
1754802846,evt00231,proto1,AST4,41691.23,506
1754802880,evt00232,proto1,AST3,199060.33,500
1754803252,evt00233,proto3,AST4,36494.98,743
1754803678,evt00234,proto2,AST2,43866.33,824
1754804574,evt00235,proto4,AST5,170821.67,709
1754805176,evt00236,proto2,AST2,115352.14,460
1754805651,evt00237,proto3,AST6,2468.23,1023
1754806132,evt00238,proto3,AST6,136703.94,275
1754806589,evt00239,proto3,AST5,74872.66,1185
1754807028,evt00240,proto3,AST4,211344.54,403
1754807426,evt00241,proto4,AST1,59392.96,785
1754807798,evt00242,proto3,AST6,73892.26,1049
1754808477,evt00243,proto4,AST3,2143.52,1085
1754809184,evt00244,proto1,AST5,186323.62,1052
1754809482,evt00245,proto2,AST5,200506.76,424
1754810138,evt00246,proto2,AST5,62746.62,973
1754810881,evt00247,proto2,AST6,24399.32,842
1754811547,evt00248,proto1,AST3,197177.99,234
1754812145,evt00249,proto3,AST6,32957.18,1131
1754812452,evt00250,proto3,AST6,103945.91,405
1754812592,evt00251,proto3,AST5,125508.48,479
1754813447,evt00252,proto2,AST3,228522.55,1166
1754813945,evt00253,proto3,AST6,217614.79,1023
1754814067,evt00254,proto4,AST1,35292.36,1189
1754814303,evt00255,proto4,AST5,91519.87,1009
1754814712,evt00256,proto1,AST3,134198.69,665
1754815094,evt00257,proto3,AST5,95330.65,853
1754815479,evt00258,proto1,AST6,58547.42,225
1754816118,evt00259,proto3,AST5,55435.24,264
1754816773,evt00260,proto4,AST6,75631.28,618
1754816897,evt00261,proto2,AST1,236571.83,511
1754817406,evt00262,proto1,AST1,58791.83,750
1754817549,evt00263,proto4,AST4,92828.36,1172
1754818314,evt00264,proto4,AST5,185598.18,358
1754818743,evt00265,proto1,AST4,153959.18,1161
1754819034,evt00266,proto1,AST6,92708.03,654
1754819494,evt00267,proto2,AST3,24946.73,902
1754819875,evt00268,proto3,AST1,99607.13,394
1754820005,evt00269,proto4,AST1,165732.65,857
1754820664,evt00270,proto1,AST1,196724.23,449
1754820797,evt00271,proto2,AST1,207474.88,767
1754821014,evt00272,proto2,AST2,82220.46,351
1754821826,evt00273,proto1,AST3,214618.52,348
1754821964,evt00274,proto3,AST2,27588.4,1087
1754821995,evt00275,proto2,AST1,89637.58,1007
1754822243,evt00276,proto3,AST1,43660.64,253
1754822377,evt00277,proto4,AST5,28518.69,265
1754822869,evt00278,proto4,AST3,128367.9,311
1754823336,evt00279,proto2,AST5,10956.06,1002
1754824228,evt00280,proto3,AST4,160877.97,231
1754824295,evt00281,proto4,AST4,106637.25,310
1754824802,evt00282,proto4,AST1,224828.78,529
1754825429,evt00283,proto2,AST1,31652.75,839
1754826082,evt00284,proto3,AST4,248657.58,743
1754826388,evt00285,proto4,AST5,151404.05,301
1754827205,evt00286,proto1,AST6,162771.06,987
1754827774,evt00287,proto2,AST4,112954.54,433
1754828202,evt00288,proto3,AST4,99754.7,947
1754828304,evt00289,proto3,AST4,78213.39,461
1754828692,evt00290,proto2,AST6,230755.5,268
1754828790,evt00291,proto1,AST1,108037.3,962
1754829551,evt00292,proto3,AST2,139145.92,800
1754830131,evt00293,proto3,AST6,30663.15,562
1754831030,evt00294,proto4,AST6,12975.35,494
1754831649,evt00295,proto3,AST3,26007.71,719
1754831871,evt00296,proto2,AST6,120609.49,1067
1754831986,evt00297,proto3,AST5,91966.16,980
1754832276,evt00298,proto2,AST4,211307.37,1197
1754833066,evt00299,proto1,AST5,232279.58,1049
1754833781,evt00300,proto3,AST1,45202.37,919
1754834566,evt00301,proto3,AST3,87833.73,385
1754835461,evt00302,proto2,AST5,164377.28,271
1754835611,evt00303,proto1,AST1,186558.41,420
1754836001,evt00304,proto4,AST4,85303.09,578
1754836325,evt00305,proto3,AST5,149104.4,1104
1754836383,evt00306,proto2,AST2,188638.44,250
1754837078,evt00307,proto1,AST3,110845.07,634
1754837580,evt00308,proto4,AST4,68378.93,973
1754838109,evt00309,proto1,AST3,107546.82,490
1754838808,evt00310,proto4,AST5,166823.08,246
1754839038,evt00311,proto4,AST5,13808.92,409
1754839351,evt00312,proto2,AST2,191068.52,496
1754839691,evt00313,proto1,AST1,124406.65,640
1754839875,evt00314,proto2,AST4,133201.68,435
1754840392,evt00315,proto3,AST1,99340.15,959
1754840440,evt00316,proto4,AST1,115003.39,279
1754841327,evt00317,proto3,AST5,107389.56,614
1754842058,evt00318,proto4,AST3,28899.52,221
1754842395,evt00319,proto2,AST5,115089.01,906
1754842770,evt00320,proto1,AST4,211139.75,449
1754843221,evt00321,proto4,AST5,19772.33,1091
1754843543,evt00322,proto3,AST2,83347.19,372
1754843626,evt00323,proto1,AST5,127546.82,1127
1754844425,evt00324,proto3,AST3,181877.49,1038
1754845090,evt00325,proto2,AST2,25808.8,462
1754845297,evt00326,proto2,AST5,38319.1,977
1754845973,evt00327,proto1,AST2,237828.88,843
1754846483,evt00328,proto4,AST5,189998.1,659
1754847185,evt00329,proto3,AST6,79116.79,650
1754847259,evt00330,proto4,AST4,157890.51,1015
1754847545,evt00331,proto1,AST3,126893.34,517
1754848022,evt00332,proto4,AST1,14335.69,1051
1754848320,evt00333,proto1,AST6,216078.8,1075
1754848417,evt00334,proto4,AST4,145132.71,1177
1754849232,evt00335,proto1,AST4,227273.4,785
1754849904,evt00336,proto2,AST3,151298.86,713
1754850063,evt00337,proto1,AST4,25983.05,1120
1754850925,evt00338,proto3,AST6,21192.16,861
1754851106,evt00339,proto1,AST2,176940.51,649
1754851647,evt00340,proto2,AST3,93288.25,489
1754852048,evt00341,proto4,AST3,169762.96,253
1754852861,evt00342,proto3,AST1,82503.13,771
1754853560,evt00343,proto4,AST3,63088.71,1072
1754854237,evt00344,proto2,AST3,20485.72,879
1754854386,evt00345,proto3,AST3,241928.0,915
1754855069,evt00346,proto4,AST2,148808.9,1160
1754855160,evt00347,proto3,AST5,94244.62,1010
1754855501,evt00348,proto2,AST6,175743.38,1169
1754856262,evt00349,proto1,AST6,167653.56,720
1754856637,evt00350,proto1,AST3,77299.45,1173
1754856861,evt00351,proto3,AST4,48098.27,340
1754857024,evt00352,proto1,AST3,211125.77,303
1754857548,evt00353,proto1,AST6,84270.68,984
1754858185,evt00354,proto2,AST5,94254.76,366
1754858375,evt00355,proto2,AST6,109485.83,620
1754858753,evt00356,proto2,AST4,152695.58,970
1754859524,evt00357,proto4,AST2,133558.71,516
1754860357,evt00358,proto4,AST2,92036.1,1169
1754860946,evt00359,proto4,AST4,192387.31,996
1754861342,evt00360,proto4,AST2,204244.78,1020
1754861966,evt00361,proto2,AST3,13158.69,692
1754862866,evt00362,proto3,AST5,233581.27,928
1754863737,evt00363,proto1,AST3,21078.72,364
1754864021,evt00364,proto4,AST5,36939.48,647
1754864119,evt00365,proto2,AST4,221171.29,1152
1754864151,evt00366,proto4,AST1,99185.92,582
1754864397,evt00367,proto4,AST1,93803.18,228
1754864728,evt00368,proto1,AST6,162532.18,1010
1754864882,evt00369,proto2,AST1,71805.42,1049
1754865370,evt00370,proto2,AST6,117341.24,830
1754865380,evt00371,proto1,AST1,64070.27,1055
1754865538,evt00372,proto4,AST1,194070.02,443
1754865851,evt00373,proto1,AST1,59701.26,854
1754866668,evt00374,proto4,AST1,27821.17,1126
1754867184,evt00375,proto1,AST6,128902.09,447
1754867924,evt00376,proto2,AST3,107378.21,829
1754868290,evt00377,proto2,AST5,104211.91,880
1754868979,evt00378,proto1,AST5,243666.66,269
1754869522,evt00379,proto1,AST4,218348.06,244
1754870177,evt00380,proto4,AST3,63502.13,216
1754870547,evt00381,proto1,AST3,60372.55,872
1754871195,evt00382,proto1,AST5,183828.52,540
1754871336,evt00383,proto1,AST3,136557.91,1033
1754871999,evt00384,proto2,AST6,116219.97,912
1754872494,evt00385,proto2,AST2,15887.56,994
1754872967,evt00386,proto1,AST3,50493.56,1010
1754873176,evt00387,proto1,AST3,233350.74,727
1754873588,evt00388,proto4,AST3,9270.8,862
1754873788,evt00389,proto3,AST3,215551.18,248
1754874679,evt00390,proto3,AST3,31223.82,576
1754875131,evt00391,proto4,AST6,110001.39,1179
1754875531,evt00392,proto3,AST2,124111.26,709
1754875912,evt00393,proto3,AST1,181803.08,280
1754876357,evt00394,proto2,AST5,73526.35,305
1754876443,evt00395,proto3,AST6,73994.51,656
1754877065,evt00396,proto4,AST2,172478.43,559
1754877527,evt00397,proto1,AST6,217524.89,561
1754878161,evt00398,proto4,AST3,159910.59,1010
1754878224,evt00399,proto1,AST6,159421.63,572
1754878754,evt00400,proto2,AST1,35797.73,822
1754879453,evt00401,proto4,AST1,31662.36,441
1754880255,evt00402,proto3,AST3,95787.66,780
1754880293,evt00403,proto2,AST6,112546.65,579
1754880678,evt00404,proto4,AST1,143531.57,742
1754881058,evt00405,proto4,AST3,162432.24,455
1754881179,evt00406,proto1,AST6,46609.69,730
1754881580,evt00407,proto1,AST3,193768.13,920
1754882041,evt00408,proto2,AST5,71479.95,1138
1754882548,evt00409,proto2,AST1,34035.82,275
1754883015,evt00410,proto2,AST6,111344.38,289
1754883849,evt00411,proto3,AST6,86934.63,266
1754884417,evt00412,proto3,AST3,212858.35,928
1754885148,evt00413,proto2,AST3,127247.89,324
1754885358,evt00414,proto2,AST2,197618.42,226
1754885732,evt00415,proto3,AST4,200938.99,764
1754885869,evt00416,proto1,AST1,77405.56,934
1754886610,evt00417,proto4,AST5,102769.48,619
1754887458,evt00418,proto1,AST2,243098.25,857
1754887538,evt00419,proto4,AST4,170065.63,552
1754887674,evt00420,proto2,AST2,108222.66,1132
1754888568,evt00421,proto1,AST1,129583.36,511
1754888741,evt00422,proto2,AST3,233692.29,430
1754889100,evt00423,proto3,AST1,62741.25,850
1754889669,evt00424,proto3,AST2,156300.59,829
1754890220,evt00425,proto1,AST5,160289.94,806
1754890819,evt00426,proto2,AST2,164724.17,937
1754891443,evt00427,proto3,AST5,10413.63,1084
1754891477,evt00428,proto1,AST1,237142.89,989
1754892072,evt00429,proto3,AST6,52796.8,785
1754892503,evt00430,proto1,AST4,222262.54,758
1754892804,evt00431,proto3,AST4,61310.09,1026
1754893510,evt00432,proto4,AST3,113451.61,905
1754893576,evt00433,proto2,AST4,103975.56,675
1754893789,evt00434,proto3,AST5,36019.93,1082
1754894529,evt00435,proto3,AST6,247007.28,553
1754894942,evt00436,proto2,AST3,128803.24,308
1754895273,evt00437,proto2,AST4,30735.77,660
1754895531,evt00438,proto2,AST1,12765.25,1168
1754895929,evt00439,proto4,AST2,240675.94,1123
1754896097,evt00440,proto3,AST5,180315.57,394
1754896883,evt00441,proto2,AST4,248992.84,678
1754897398,evt00442,proto3,AST4,5911.29,1167
1754897805,evt00443,proto4,AST2,53880.29,561
1754897859,evt00444,proto1,AST3,123784.16,1103
1754898727,evt00445,proto4,AST3,134228.28,1067
1754898842,evt00446,proto4,AST2,220628.04,944
1754899221,evt00447,proto4,AST3,11425.17,252
1754899809,evt00448,proto2,AST3,138359.34,275
1754900209,evt00449,proto4,AST5,70016.6,838
1754900910,evt00450,proto1,AST2,243773.69,603
1754901297,evt00451,proto3,AST5,234744.47,973
1754901449,evt00452,proto2,AST5,127339.53,712
1754901495,evt00453,proto1,AST1,34362.65,541
1754902323,evt00454,proto4,AST5,114312.3,820
1754902855,evt00455,proto2,AST3,232850.42,526
1754903026,evt00456,proto4,AST5,184861.12,506
1754903638,evt00457,proto3,AST5,207092.95,745
1754904144,evt00458,proto3,AST4,203959.32,577
1754904488,evt00459,proto1,AST4,145975.49,1015
1754905235,evt00460,proto1,AST5,118710.6,1190
1754905911,evt00461,proto2,AST6,12952.63,691
1754906090,evt00462,proto4,AST2,205436.72,448
1754906127,evt00463,proto1,AST2,4852.07,521
1754906560,evt00464,proto2,AST4,172662.21,620
1754907078,evt00465,proto4,AST6,181883.24,922
1754907224,evt00466,proto2,AST5,81343.38,878
1754907718,evt00467,proto4,AST3,239176.57,670
1754908268,evt00468,proto3,AST5,88649.23,990
1754909161,evt00469,proto3,AST5,121106.92,1180
1754909418,evt00470,proto3,AST5,74708.97,1164
1754909727,evt00471,proto3,AST6,51914.58,921
1754910232,evt00472,proto3,AST4,87278.94,1156
1754911051,evt00473,proto3,AST3,30573.9,892
1754911612,evt00474,proto4,AST4,204616.16,1177
1754912408,evt00475,proto2,AST3,10631.57,1178
1754913144,evt00476,proto1,AST3,231011.53,871
1754913411,evt00477,proto4,AST2,50612.75,751
1754913693,evt00478,proto3,AST2,27413.54,958
1754914298,evt00479,proto2,AST2,12805.27,1126
1754914846,evt00480,proto2,AST6,58301.2,302
1754915274,evt00481,proto3,AST6,118164.29,897
1754916068,evt00482,proto2,AST1,241133.95,1151
1754916234,evt00483,proto4,AST6,233765.82,1099
1754916726,evt00484,proto4,AST6,49960.06,1187
1754917025,evt00485,proto3,AST3,161516.97,1129
1754917817,evt00486,proto1,AST6,143584.44,747
1754918578,evt00487,proto1,AST2,104541.1,1057
1754918763,evt00488,proto1,AST4,197015.6,390
1754919534,evt00489,proto3,AST1,2435.68,781
1754920156,evt00490,proto1,AST3,71226.27,856
1754920717,evt00491,proto4,AST2,212782.81,679
1754921001,evt00492,proto2,AST1,82751.34,948
1754921475,evt00493,proto3,AST6,46647.42,954
1754921825,evt00494,proto3,AST5,168639.36,397
1754922009,evt00495,proto4,AST4,128878.33,288
1754922424,evt00496,proto1,AST2,245423.5,688
1754922760,evt00497,proto2,AST1,65285.03,441
1754923222,evt00498,proto3,AST3,75570.23,940
1754923813,evt00499,proto1,AST3,163462.4,909
